,0
0,167.3719704455418
1,186.6532498493629
2,190.14171186470713
3,159.83048003332868
4,148.12686198328356
5,188.45355451086516
6,197.29446952529827
7,221.4565033626747
8,182.39594924428297
9,172.3442734862834
10,141.2376184842361
11,157.52270939695228
12,210.70286717245085
13,165.79841309060532
14,156.00294165954116
15,151.31247205792008
16,151.1679793158438
17,210.35077829760445
18,161.0040991971507
19,200.65953101728275
20,185.25060446770289
21,152.75857655180548
22,160.00159280356058
23,151.86336647053975
24,191.85973814054122
25,143.20225989671795
26,151.2293848517165
27,156.90813781385563
28,156.27136743255608
29,172.760079112865
30,173.9540270456807
31,267.61069564598483
32,173.9291543392717
33,155.86203533902082
34,155.82129942817437
35,163.88217814949954
36,206.06878731007876
37,147.86270392832347
38,172.8542094386753
39,180.30349006562017
40,245.1232675446715
41,151.65120923908526
42,178.17725215546704
43,153.4669436734319
44,173.04960034635525
45,169.02364865338419
46,153.9961570586736
47,165.77599874684083
48,179.40487968677337
49,180.96945126665574
50,148.5198808379202
51,243.55742586116412
52,206.72272145696527
53,178.8204288932774
54,152.29397099001778
55,170.30875912978345
56,165.21502500842914
57,161.70177095283978
58,177.35245911879963
59,151.19622156928486
60,167.49076170948936
61,151.22180085380685
62,168.59291669901282
63,148.4811998045535
64,173.06617642728284
65,156.34006535972895
66,142.73296132132347
67,214.8618147929778
68,213.8285882628635
69,263.0082182971647
70,189.64066808743112
71,163.33305611415477
72,144.675520101485
73,150.71395457452414
74,157.73024719631775
75,162.64366234204437
76,194.1342639508481
77,202.2911841049901
78,163.14733210893445
79,147.88647447359125
80,212.20123491979814
81,147.95928867087758
82,200.20906318044004
83,209.88630129558072
84,186.54788888219935
85,147.30236224648863
86,170.68561080126977
87,149.93882338825844
88,160.95820836324404
89,158.5430496599443
90,164.94812293128805
91,161.13394000347026
92,185.281717667412
93,153.83550288073042
94,154.42299537680856
95,180.02105291946006
96,204.0566077967911
97,164.75204329539133
98,180.62656874247773
99,222.9949363160359
100,177.83053884295586
101,152.47433589128158
102,174.01886259066433
103,156.94180667323403
104,150.5904205713839
105,166.1112803302978
106,155.6419003387394
107,198.23069105530965
108,161.37043134174723
109,190.46890619521653
110,207.9810900544456
111,177.73676655496274
112,217.19346627939098
113,151.7768631125556
114,173.10216354471362
115,151.88021121395272
116,174.6078613614173
117,148.2492232124245
118,204.5263391429065
119,161.98261133232683
120,164.70372549683321
121,202.0492372511608
122,176.18729478871631
123,198.15635975993612
124,144.8344314427543
125,185.7642278790954
126,213.74050004062778
127,172.556647888388
128,164.88936660643685
129,143.13111853350796
130,153.0052149541694
131,151.72131176886023
132,159.86459985303128
133,165.24480697729925
134,175.64651389140312
135,181.23341499405325
136,164.38033639460764
137,203.85230242227084
138,142.58320132923257
139,166.5898459928114
140,177.86251895229154
141,151.36429399987216
142,153.08461783646393
143,171.15769723821342
144,166.08192185536237
145,164.9023153237336
146,150.42999208686328
147,148.3859227533532
148,156.59362228272354
149,160.08619088405925
150,166.613466516241
151,161.01361665476162
152,153.11467207727117
153,212.00174282422034
154,170.5002604177021
155,217.85831164950687
156,146.38138345374887
157,173.50654016005828
158,149.3218377983247
159,171.34690033238118
160,143.3338544741506
161,151.322659487124
162,151.66447667783513
163,154.04725367039862
164,159.19490810249889
165,141.30523816110363
166,144.00717323313984
167,211.56699386882224
168,153.11600344504205
169,146.981472085131
170,167.89569793603513
171,169.40255815985097
172,147.02391945534364
173,160.34410719559145
174,154.27683675168703
175,154.76100730472112
176,158.1765962022118
177,184.03491382190077
178,197.2870432970673
179,183.8066851313032
180,172.86835700878575
181,148.9616346212253
182,191.91191794106413
183,185.8969258882426
184,194.41090542130317
185,197.14349481854936
186,184.65854647399195
187,207.45316088762613
188,204.6189403049407
189,177.93984860064555
190,171.71978208001389
191,147.0249365130495
192,151.43327917314235
193,159.9525184903121
194,168.1889967140863
195,177.88624827002897
196,159.54330082901575
197,168.50165875254064
198,151.53374424283606
199,142.0356943227893
200,224.01558802405066
201,157.90640116939818
202,168.2131269190914
203,173.33955715924247
204,142.87570972655246
205,161.5217779523284
206,163.15362156110695
207,164.67867463831408
208,227.46354667337891
209,225.38545917997328
210,143.6727836559476
211,155.0842876054086
212,167.0218911023786
213,147.6351371372408
214,143.28415134233484
215,160.52637283373866
216,220.20277914095533
217,141.66087638731395
218,169.36211491662883
219,155.95447028268376
220,150.76556699115332
221,145.22997080185212
222,168.79123671760655
223,206.57067302768064
224,168.66928314137957
225,222.53136097047073
226,173.61701212018596
227,207.92664733368613
228,220.75242630724733
229,191.50903369208496
230,160.83420627787024
231,153.65491534601838
232,146.6497233485526
233,187.38631201217137
234,173.10947401390825
235,166.70095256301934
236,151.58179461572377
237,142.6451681312653
238,161.8461233600412
239,163.04380855276855
240,171.28433549267822
241,169.62708632445384
242,205.20969163372737
243,202.8334329500974
244,174.33284851319834
245,152.09630606364638
246,148.9760897112217
247,181.24495847807515
248,164.55309809087353
249,138.70779971010572
250,159.18978846397877
251,161.97391845656645
252,167.60830982841168
253,169.57178659551408
254,191.1290633229368
255,144.93908224736057
256,150.81216166099492
257,174.65790777397444
258,160.0747566583236
259,156.97243525680437
260,150.4569906923926
261,184.66022448875893
262,159.77841997030225
263,149.76167495357694
264,205.20156075032043
265,220.52819876584414
266,199.8910547130877
267,166.8114267434399
268,158.01165926392835
269,194.26603198871766
270,147.34171060137055
271,147.13800302240452
272,169.66252206543257
273,163.68284032151928
274,152.72740671242613
275,165.62360845757487
276,153.14185151509918
277,144.5217410285193
278,186.62728606263403
279,192.43153049120087
280,221.4916831245192
281,149.55144961014196
282,181.17682670535896
283,231.10309701517554
284,189.1187662440082
285,160.0471294451877
286,199.08680213505625
287,176.30489333441855
288,156.20382393354126
289,164.13492648605433
290,150.70201412293386
291,188.32660500037844
292,155.46334069113126
293,147.52810736316286
294,239.05337413460308
295,205.10165152825837
296,155.20456183205303
297,164.9147416418301
298,175.44108093563304
299,150.16194804441005
300,195.7326591890482
301,148.88671154608943
302,156.65334818283947
303,199.56062845324962
304,215.40553497436844
305,150.4076901404247
306,152.10376930996355
307,171.61075247339915
308,163.4756590637053
309,214.51224596495757
310,146.49400532580407
311,180.81633390785845
312,154.64178396951124
313,154.3723566488341
314,213.18288962088678
315,189.01129355129262
316,173.83651805987503
317,147.71548255927573
318,158.86098555613668
319,154.55811164516095
320,149.97833281064163
321,161.95950077129316
322,163.33812360711445
323,169.00134664271178
324,196.0887614491507
325,177.93627636387393
326,194.31590298376744
327,170.2112759660663
328,186.7373205243772
329,176.501203553067
330,153.7791500822537
331,157.6724045737991
332,183.26859943910785
333,198.820487315666
334,155.0560858757032
335,199.3139029715201
336,162.6774297946302
337,167.3263409234554
338,139.49487104392756
339,164.76851176236863
340,160.10151979118623
341,174.8351793847829
342,174.83951980569506
343,196.422916172597
344,186.27690031231063
345,146.34226682556084
346,161.87639479021206
347,169.8050417020421
348,167.16925925235753
349,179.91730810985936
350,210.88671249138048
351,159.8207877504511
352,151.67495968998995
353,178.8074073626474
354,163.6254109460195
355,149.53046344981405
356,158.1490778865876
357,175.48480890555615
358,149.13529583309247
359,195.62727507427107
360,191.73880150737676
361,165.682686535216
362,228.2597643821569
363,154.90319694454155
364,141.92353380596404
365,150.58302324356174
366,141.13587562360868
367,146.66524539168995
368,168.37988496076912
369,150.5956728284799
370,189.6470024429275
371,148.04927900826533
372,175.5464018611732
373,151.54609006978254
374,168.0856495326728
375,152.37639530427077
376,237.24622710195908
377,146.18187021820071
378,181.89297744548028
379,177.05087902328293
380,163.3472825955092
381,152.43888442628187
382,147.00730174171838
383,151.14167447257518
384,158.72165648045504
385,199.57978579881814
386,143.84408007656202
387,168.1677506942249
388,155.88269573532236
389,161.5580354848272
390,195.84435639918266
391,156.82483108667984
392,174.96124680029106
393,190.6956586654
394,178.36047323679475
395,149.8418821505033
396,177.1573933068873
397,160.56676553491266
398,176.54877166664195
399,150.10387177034886
400,157.35841990248676
401,163.41185102728775
402,166.31772587261113
403,155.87541955459184
404,181.9421199162795
405,165.57522077134675
406,146.38736495560147
407,181.12846839921792
408,207.65356460755493
409,193.74649542259073
410,152.187678290066
411,242.12190857038118
412,153.77516678692947
413,177.15639079602192
414,170.86631611134845
415,146.67542366279704
416,181.75198017041475
417,163.2782742056095
418,170.67839174463165
419,171.29625554298974
420,162.54808095087427
421,142.87712348434192
422,153.24431621868123
423,146.46388660658727
424,162.15590023253867
425,151.29701897553483
426,149.66534247590033
427,166.43334678141235
428,190.64656126405976
429,175.5005491919978
430,236.7464835676943
431,184.0684146492984
