,0.9
0,1.9758012042662025
1,2.3723692083181462
2,2.451599729164705
3,1.7988034123624592
4,1.5640679926135683
5,2.3879680718081717
6,2.4310829425221527
7,2.899367183037503
8,2.2736768148552424
9,2.05096947248051
10,1.4316576730371924
11,1.7892902251074838
12,2.704380099059962
13,1.9563634230035079
14,1.6974548235839406
15,1.6594357940591276
16,1.597015030578678
17,2.6985244860255584
18,1.831350817610387
19,2.5431932429965114
20,2.276559612718719
21,1.6651524816120526
22,1.7790593105655792
23,1.649779287265319
24,2.41214510332838
25,1.5073146436865967
26,1.6210214057858772
27,1.7308154106937723
28,1.7208779530261389
29,2.0972525924794967
30,2.1183108540314493
31,3.1835333113734294
32,2.071830320284531
33,1.6738054890154381
34,1.6844459858554781
35,1.8692441445328336
36,2.399579745012648
37,1.5474304940032038
38,2.1123952781944837
39,2.2764839828094674
40,3.267181045188515
41,1.6583245612098034
42,2.173749605217331
43,1.6297704915345386
44,2.0955883607440335
45,2.083514483178973
46,1.7121658746265238
47,1.9708224401673866
48,2.2401316222434526
49,2.09387361152472
50,1.5540649034246123
51,2.9051157100253473
52,2.6887948396359524
53,2.11856453993476
54,1.6090618527968588
55,2.0583243163502893
56,1.9329587674997855
57,1.8737631299107047
58,2.216771056328027
59,1.617414852700553
60,1.9546016820724936
61,1.6308872404350758
62,1.995542934087196
63,1.5585367621971569
64,2.116579405791361
65,1.766272793043173
66,1.4527908396895535
67,2.8232387946652375
68,2.5376534010891456
69,3.1524257540375884
70,2.229454569314501
71,1.9075675935033725
72,1.5089877166841366
73,1.5950051850605096
74,1.7285149205127874
75,1.9081246304463362
76,2.167622708755018
77,2.617697674003995
78,1.7805314184729772
79,1.545298157506182
80,2.672270268226628
81,1.5738756101197127
82,2.3839459118597737
83,2.7053060258579342
84,2.3584893826255815
85,1.6030236481877802
86,2.0608804318956304
87,1.6283928685081088
88,1.9295663043885156
89,1.824200899707727
90,1.9193215142392865
91,1.8550732879428886
92,2.234407688633732
93,1.6951875627699826
94,1.6691326969835456
95,2.0817739959447223
96,2.6377081459786798
97,1.9318758031586096
98,2.054301943518428
99,2.6290254764990943
100,2.177553294278518
101,1.641693660408889
102,2.097457231502889
103,1.7360690187008854
104,1.6222647103729226
105,1.9332660370203483
106,1.7569441615902508
107,2.49402475724058
108,1.8204728365209775
109,2.4167599346781556
110,2.371932203716478
111,2.2010332240464203
112,2.5727909407098433
