smoke_emiss,smoke_diam,sig_w,dry_dep_acc,sea_spray,a_ent_1_rp,bparam,kappa_oc,dms,anth_so2,autoconv_exp_nd,bc_ri,pcalc_index
0.5,0.0952380952380952,0.545454545454545,0.5,0.5,0.4375,0.499999999999999,1,0.502276638898364,0.55749295065024,0.605,0.275,0
0.059350660002868,0.918489758239593,0.0214778510698428,0.646251012462502,0.0816084723939033,0.925741358935678,0.371976026925647,0.878936082838724,0.337535545693633,0.214218552513436,0.614506945629061,0.733056531054899,1
0.645645469202039,0.946194945372796,0.323687423494729,0.149615368318822,0.0575604808536203,0.888895402140527,0.64160912365963,0.305442666615515,0.574462694709655,0.0270823933184147,0.872305514488835,0.61429832293652,2
0.490304998669308,0.051789329268892,0.383598137102231,0.254471190473608,0.555813173662561,0.243190349155338,0.0489073926602329,0.122636931715533,0.658518038088611,0.911657853620515,0.204121166498711,0.911662503397868,3
0.0176920750644058,0.39296624303679,0.496759571235232,0.975852177497776,0.485617544535004,0.8325671588905,0.983204699311561,0.336196435227369,0.286027279808574,0.79863787284509,0.235724149128267,0.43813619838135,4
0.911607058072695,0.415226974400381,0.660990309166355,0.54752394327467,0.863158389130452,0.342232049966697,0.730498541455018,0.550996541014562,0.357452477689367,0.954405836949203,0.9338447178908,0.403596338511367,5
0.192016980453627,0.709517893798572,0.410091889049914,0.509047097355748,0.684515648082985,0.23942254811603,0.224622909936201,0.0475805889407638,0.671780192128305,0.828759510450376,0.998379231775956,0.265570933711327,6
0.206090768407254,0.606569995088891,0.179450376145542,0.0867587462921316,0.765009064147792,0.260600186092779,0.238600603929566,0.811938186985208,0.261527593131177,0.0801185778613823,0.0344192670211971,0.461153220984852,7
0.443229411538535,0.534762329047468,0.109114989763916,0.599669342167908,0.914019594708225,0.759166746794169,0.99222863430817,0.745657024680016,0.349452956509776,0.24645073733991,0.695154792813507,0.128270894729455,8
0.51003496889413,0.703764375468018,0.221566759164191,0.235931958413372,0.463582359619128,0.0931654743035324,0.834317460450499,0.991911331329417,0.938110806597009,0.754970280845494,0.506230308598606,0.670811400312232,9
0.709785236881968,0.793585258167392,0.513533400955864,0.94398816585502,0.628319826171113,0.784942756406963,0.824367112482044,0.47047039483247,0.434753804374486,0.0838650044306026,0.739728339761496,0.30783863052881,10
0.35801153080926,0.00434253191924654,0.463050491347288,0.679970357415732,0.889161114718688,0.757093186496059,0.52821840691031,0.588528069948855,0.166018341407956,0.323431204783264,0.473858280460505,0.970613882452017,11
0.06720975478529,0.350957412406569,0.591094087793802,0.28625616869928,0.0743259879411198,0.724704410063957,0.545314303781682,0.636440287183117,0.823541783048616,0.535045277154616,0.861155704798875,0.810967162451319,12
0.28793690802219,0.570681944208142,0.724137905436201,0.0630785881755098,0.77261777088667,0.482632946459732,0.734490773450428,0.849908293321884,0.457169241980106,0.527754275438686,0.76244068335897,0.662973173414745,13
0.0844833445250212,0.752273463017385,0.438668214953081,0.0135706977666511,0.311567887009975,0.677639600531741,0.669937976168391,0.959075837704586,0.785644295966874,0.741001447222273,0.440104086157711,0.148753463956139,14
0.0392154818808194,0.205147191342742,0.195602543031176,0.604897682925609,0.279151283218137,0.471027984543859,0.97051660172292,0.250389682660655,0.324319906439632,0.720652719903349,0.682407065302444,0.428736595142012,15
0.573248297750251,0.467291199043393,0.283903418797435,0.0394472845403167,0.100571552010175,0.395610290236073,0.150325710270166,0.134165100402121,0.179534212951936,0.200821278205452,0.330631642458805,0.153978884776977,16
0.591104013404886,0.161648726488541,0.303105998025135,0.484746105512992,0.973093617224367,0.413076719263336,0.909247859140547,0.0878589658396474,0.955798069979452,0.543792164884508,0.0997421006924317,0.351120205285649,17
0.10268866212961,0.147824128453309,0.564456499303042,0.82319390065386,0.0148081826764004,0.300644029576021,0.482224572252016,0.432826806936646,0.881892890409411,0.582537854131078,0.140692373809482,0.396405611519003,18
0.468758450789998,0.0822236925615774,0.672268911109616,0.213027050988361,0.919249218834254,0.541028719837777,0.350359458963309,0.0268173728933713,0.312423288080997,0.141294681513682,0.81680834996126,0.476283497322584,19
0.848938902120184,0.119458969420521,0.0923471459639118,0.659640022708724,0.548093317340439,0.167367947939783,0.265891638925919,0.00555315578239969,0.533939135204613,0.678506102566219,0.242452513418781,0.746607206759897,20
0.889732361819673,0.827306116463539,0.302359442706361,0.876224465776856,0.209072407812346,0.450073068103908,0.433501894209379,0.726712364980873,0.856443858587106,0.785010108567076,0.850791355303954,0.713897824300996,21
0.400046094863986,0.529633921122877,0.547306411330955,0.577377239379954,0.113104068103712,0.197198862834678,0.289861600304721,0.903521185847543,0.0747929464560002,0.746774401985264,0.494633953399413,0.0491839644887175,22
0.266575570765417,0.0463869086990599,0.050452997130483,0.418222582957242,0.0908335920791918,0.445386325527215,0.382038751221262,0.951946998868758,0.267740931522955,0.516335289430572,0.280642439056343,0.200184198911302,23
0.243372560222633,0.887097468060286,0.526450601457195,0.182985608093441,0.502575229251912,0.593419813673245,0.0109636319354955,0.0126133830325368,0.55910215715412,0.818731405031091,0.181027578331608,0.12449798664311,24
0.476986183874154,0.249087310452402,0.484568468803032,0.898709801105239,0.366066594513056,0.114835190332572,0.632567171810661,0.456658062703597,0.700648563572516,0.946782436912569,0.104959240953516,0.0114374063113549,25
0.759682715973274,0.482262860244373,0.0288281149555449,0.884983779749988,0.999377784918761,0.990353283672205,0.331936090026283,0.286630741601888,0.530543965623171,0.725365822719565,0.533176170729954,0.0411673322261777,26
0.431607525912114,0.419723135064123,0.366530991400677,0.799212307221023,0.35216365045441,0.970400425826665,0.18570115880575,0.31213205444122,0.90421002212873,0.777805122876695,0.989908380950025,0.415437515006245,27
0.616180351036989,0.378868493109864,0.554621298831295,0.737246817924703,0.746027697791578,0.102560499306613,0.0755005893355698,0.0719979395585445,0.797963485383661,0.878521816502325,0.384113071490234,0.556123263691552,28
